ID(hex)                 b#1  b#2  b#3  b#4  b#5  b#6  b#7  b#8

217056256 (CF00400)     240  125  138  128  20   255  255  255  
217056000 (CF00300)     255  254  19   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
419361280 (18FEF200)    98   0    254  254  255  255  255  255  
217056256 (CF00400)     240  125  138  143  20   255  255  255  
218071296 (CFF8100)     161  255  207  0    252  1    255  255  
418119424 (18EBFF00)    2    31   201  224  46   225  64   56   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  142  20   255  255  255  
418119465 (18EBFF29)    2    25   250  36   25   189  49   25   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  117  20   255  255  255  
217056000 (CF00300)     255  254  19   255  255  255  255  255  
419356416 (18FEDF00)    131  255  255  255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  88   20   255  255  255  
419361024 (18FEF100)    255  254  254  252  255  0    31   15   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  65   20   255  255  255  
217056000 (CF00300)     255  254  20   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
419361280 (18FEF200)    102  0    254  254  255  255  255  255  
217056256 (CF00400)     240  125  138  40   20   255  255  255  
218071296 (CFF8100)     161  255  207  0    252  1    255  255  
418119424 (18EBFF00)    3    221  128  77   255  255  234  11   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  56   20   255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
418119465 (18EBFF29)    3    128  62   0    0    25   255  255  
217056256 (CF00400)     240  125  138  85   20   255  255  255  
217056000 (CF00300)     255  254  20   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  95   20   255  255  255  
419361024 (18FEF100)    255  254  254  252  255  0    31   15   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  95   20   255  255  255  
217056000 (CF00300)     255  254  19   255  255  255  255  255  
419361280 (18FEF200)    99   0    254  254  255  255  255  255  
283770919 (10EA0027)    229  254  0    0    0    0    0    0    
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  104  20   255  255  255  
218071296 (CFF8100)     161  255  207  0    252  1    255  255  
418119424 (18EBFF00)    4    96   84   250  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  95   20   255  255  255  
418184960 (18ECFF00)    32   10   0    2    255  202  254  0    
419357952 (18FEE500)    181  1    0    0    255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  66   20   255  255  255  
217056000 (CF00300)     255  254  20   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  50   20   255  255  255  
419361024 (18FEF100)    255  254  254  252  255  0    31   15   
418119424 (18EBFF00)    1    199  255  26   13   4    127  46   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  27   20   255  255  255  
419360512 (18FEEF00)    255  255  255  90   255  255  255  250  
217056000 (CF00300)     255  254  21   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
419356416 (18FEDF00)    131  255  255  255  255  255  255  255  
419361280 (18FEF200)    104  0    254  254  255  255  255  255  
217056256 (CF00400)     240  125  138  27   20   255  255  255  
218071296 (CFF8100)     161  255  207  0    252  1    255  255  
419399168 (18FF8600)    24   184  0    0    0    0    0    0    
419362304 (18FEF600)    255  0    87   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  59   20   255  255  255  
418119424 (18EBFF00)    2    2    11   127  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  77   20   255  255  255  
217056000 (CF00300)     255  254  20   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  89   20   255  255  255  
419361024 (18FEF100)    255  254  254  252  255  0    31   15   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  108  20   255  255  255  
217056000 (CF00300)     255  254  19   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
419361280 (18FEF200)    100  0    254  254  255  255  255  255  
217056256 (CF00400)     240  125  138  102  20   255  255  255  
218071296 (CFF8100)     161  255  207  0    252  1    255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  82   20   255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  62   20   255  255  255  
217056000 (CF00300)     255  254  20   255  255  255  255  255  
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  50   20   255  255  255  
419361024 (18FEF100)    255  254  254  252  255  0    31   15   
218071079 (CFF8027)     161  255  207  252  255  255  255  255  
217056256 (CF00400)     240  125  138  50   20   255  255  255  
